full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Walter Salema,walter.salema@saccos.local,+255712000116,ILS24-F00016,19920305-16988-00016-44,,active,4157745,220000,2025-05-07T09:40:00Z,2025-06-06T09:50:00Z,100000,2025-10-28T16:00:00Z,Member with withdrawal activity,,,,,,,
Emmanuel Mmari,emmanuel.mmari@saccos.local,+255712000117,ILS24-F00017,19970919-22761-00017-22,,active,3449760,210000,2025-06-14T08:25:00Z,2025-07-10T10:30:00Z,80000,2026-02-22T13:20:00Z,Regular saver with moderate withdrawals,,,,,,,
Alban Robert Kimario,alban.kimario@saccos.local,+255712000118,ILS24-F00018,19891012-19755-00018-37,,active,3305721,125000,2025-07-03T08:30:00Z,2025-07-29T10:35:00Z,45000,2026-02-07T14:20:00Z,Imported active borrower,LN-0007,1000000,10,12,active,2025-08-08T09:00:00Z,110000,2026-03-02T11:30:00Z
Laurian Gidoyi,laurian.gidoyi@saccos.local,+255712000119,ILS24-F00019,19930126-14322-00019-29,,active,3446225,195000,2025-08-01T09:00:00Z,2025-08-29T11:15:00Z,70000,2026-02-17T15:05:00Z,Mid-saver profile,,,,,,,
John Massawe,john.massawe@saccos.local,+255712000120,ILS24-F00020,19980702-25893-00020-18,,active,2734676,130000,2025-09-12T08:50:00Z,2025-10-07T09:45:00Z,50000,2026-01-27T13:15:00Z,Steady savings growth,,,,,,,
Masale Masale,masale.masale@saccos.local,+255712000121,ILS24-F00021,19881218-17644-00021-35,,active,3863550,250000,2025-02-25T08:15:00Z,2025-03-28T10:35:00Z,140000,2025-11-11T12:55:00Z,Active saver with good share uptake,,,,,,,
Innocent Mosha,innocent.mosha@saccos.local,+255712000122,ILS24-F00022,19911130-20134-00022-16,,active,4838757,300000,2025-03-02T08:25:00Z,2025-04-01T09:40:00Z,220000,2025-09-26T15:10:00Z,Imported active borrower,LN-0008,2500000,12,12,active,2025-06-03T10:30:00Z,200000,2026-01-30T10:00:00Z
Amos Nungu,amos.nungu@saccos.local,+255712000123,ILS24-F00023,19940208-23219-00023-24,,active,6768408,420000,2025-01-17T08:40:00Z,2025-02-19T09:25:00Z,180000,2025-12-09T16:10:00Z,Long-standing saver,,,,,,,
Athumani Mwasha,athumani.mwasha@saccos.local,+255712000124,ILS24-F00024,19960512-18560-00024-48,,active,3256502,170000,2025-04-15T07:50:00Z,2025-05-13T10:15:00Z,65000,2026-02-11T14:30:00Z,Member with smaller tickets,,,,,,,
Hassan Matata,hassan.matata@saccos.local,+255712000125,ILS24-F00025,19870509-21488-00025-19,,active,1585808,95000,2025-05-05T08:20:00Z,2025-06-04T10:05:00Z,30000,2025-12-14T13:35:00Z,Early-stage saver,,,,,,,
Junior Alfie Shao,junior.shao@saccos.local,+255712000126,ILS24-F00026,19990908-24817-00026-21,,active,2018105,115000,2025-10-01T09:30:00Z,2025-10-29T11:00:00Z,40000,2026-03-01T10:45:00Z,Member with recent share growth,,,,,,,
Saidi Ramadhani Mdee,saidi.mdee@saccos.local,+255712000127,ILS24-F00027,19930429-17330-00027-12,,active,2109455,118000,2025-09-09T08:05:00Z,2025-09-30T10:20:00Z,55000,2026-01-22T14:00:00Z,Regular transaction pattern,,,,,,,
Evance Mori,evance.mori@saccos.local,+255712000128,ILS24-F00028,19921011-22940-00028-27,,active,3305673,180000,2025-08-13T09:35:00Z,2025-09-03T10:55:00Z,120000,2026-02-24T12:15:00Z,Imported active borrower,LN-0009,1800000,10,10,active,2025-10-12T13:10:00Z,160000,2026-03-04T09:45:00Z
Emmanuel Moshi,emmanuel.moshi@saccos.local,+255712000129,ILS24-F00029,19890407-15642-00029-33,,active,3824896,205000,2025-03-21T08:10:00Z,2025-04-24T10:40:00Z,75000,2025-12-12T14:50:00Z,Imported active borrower,LN-0010,600000,12,6,active,2025-09-15T09:15:00Z,65000,2026-02-15T08:55:00Z
Patrick S. Kiani,patrick.kiani@saccos.local,+255712000130,ILS24-F00030,19900124-24451-00030-15,,active,3374249,165000,2025-09-21T09:05:00Z,2025-10-11T09:50:00Z,95000,2026-02-12T15:10:00Z,Imported active borrower,LN-0011,900000,10,9,active,2025-11-05T08:20:00Z,85000,2026-03-03T08:40:00Z
Stephen Nkururu,stephen.nkururu@saccos.local,+255712000131,ILS24-F00031,19951203-18762-00031-47,,active,1283404,80000,2025-07-07T08:20:00Z,2025-07-31T10:05:00Z,25000,2026-01-29T12:20:00Z,Small saver profile,,,,,,,
Shabani Salim,shabani.salim@saccos.local,+255712000132,ILS24-F00032,19880814-20591-00032-23,,active,1274592,78000,2025-06-18T08:35:00Z,2025-07-15T10:10:00Z,20000,2026-02-09T13:40:00Z,Small saver profile,,,,,,,
Frederick Ndosi,frederick.ndosi@saccos.local,+255712000133,ILS24-F00033,19970220-16874-00033-30,,active,1687230,90000,2025-04-08T09:10:00Z,2025-05-05T10:45:00Z,35000,2025-11-30T13:10:00Z,Imported active borrower,LN-0012,700000,12,8,active,2025-08-19T11:00:00Z,70000,2026-02-20T09:10:00Z
Abraham Assenga,abraham.assenga@saccos.local,+255712000134,ILS24-F00034,19930717-22208-00034-20,,active,1062160,72000,2025-08-26T08:00:00Z,2025-09-20T09:55:00Z,15000,2026-02-28T11:20:00Z,Light activity profile,,,,,,,
Best Magoma,best.magoma@saccos.local,+255712000135,ILS24-F00035,19981109-19463-00035-41,,active,1873539,98000,2025-10-03T08:45:00Z,2025-10-28T10:20:00Z,40000,2026-03-02T10:10:00Z,Saver with no credit exposure,,,,,,,
Bakari Hemedi,bakari.hemedi@saccos.local,+255712000136,ILS24-F00036,19871126-23715-00036-10,,active,1168376,85000,2025-03-11T09:00:00Z,2025-04-06T10:40:00Z,30000,2025-10-05T14:10:00Z,Imported active borrower,LN-0013,500000,10,6,active,2025-07-07T10:25:00Z,55000,2026-01-25T08:20:00Z
Elibariki Mkumbo,elibariki.mkumbo@saccos.local,+255712000137,ILS24-F00037,19960406-18240-00037-45,,active,3184421,155000,2025-05-23T08:15:00Z,2025-06-17T10:05:00Z,60000,2026-02-13T14:45:00Z,Healthy savings pattern,,,,,,,
Charles Jangu,charles.jangu@saccos.local,+255712000138,ILS24-F00038,19921212-14975-00038-36,,active,2324922,110000,2025-04-24T07:50:00Z,2025-05-21T10:40:00Z,50000,2025-12-07T14:05:00Z,Imported active borrower,LN-0014,1200000,12,12,active,2025-07-20T09:05:00Z,120000,2026-02-27T09:35:00Z
Abdillahi Moshi,abdillahi.moshi@saccos.local,+255712000139,ILS24-F00039,19940105-21564-00039-18,,active,1670695,93000,2025-07-11T08:30:00Z,2025-08-06T09:50:00Z,20000,2026-02-26T10:50:00Z,Steady savings behavior,,,,,,,
Ahmad Yahya,ahmad.yahya@saccos.local,+255712000140,ILS24-F00040,19890528-20311-00040-49,,active,3176086,160000,2025-02-07T08:20:00Z,2025-03-08T10:10:00Z,95000,2025-11-02T14:25:00Z,Consistent member activity,,,,,,,
Khalifa Sushy,khalifa.sushy@saccos.local,+255712000141,ILS24-F00041,19910816-17629-00041-13,,active,2809065,135000,2025-02-04T08:30:00Z,2025-03-06T10:00:00Z,90000,2026-01-16T13:30:00Z,Imported active borrower,LN-0015,2000000,10,14,active,2025-04-18T11:25:00Z,175000,2026-03-04T10:25:00Z
Stella Mwajuma,stella.mwajuma@saccos.local,+255712000142,ILS24-F00042,19970715-24106-00042-22,,active,2450000,140000,2025-03-26T09:25:00Z,2025-04-24T10:50:00Z,85000,2025-12-29T15:15:00Z,Women members product saver,,,,,,,
Amina Selemani,amina.selemani@saccos.local,+255712000143,ILS24-F00043,19960210-18855-00043-38,,active,2920000,165000,2025-01-29T08:15:00Z,2025-02-26T09:55:00Z,120000,2025-10-25T13:25:00Z,Imported active borrower,LN-0016,1400000,12,10,active,2025-06-24T09:40:00Z,130000,2026-02-18T09:20:00Z
Janeth Mushi,janeth.mushi@saccos.local,+255712000144,ILS24-F00044,19930514-15283-00044-16,,active,2100000,128000,2025-05-01T09:05:00Z,2025-05-30T10:30:00Z,45000,2026-01-31T12:10:00Z,Salary-backed saver,,,,,,,
Josephat Mrema,josephat.mrema@saccos.local,+255712000145,ILS24-F00045,19880222-19818-00045-27,,active,4900000,260000,2025-04-11T08:10:00Z,2025-05-08T09:40:00Z,180000,2025-12-16T14:35:00Z,Imported active borrower,LN-0017,2200000,11,15,active,2025-07-29T10:15:00Z,190000,2026-03-06T08:50:00Z
Rehema Chuwa,rehema.chuwa@saccos.local,+255712000146,ILS24-F00046,19991130-21442-00046-40,,active,1750000,102000,2025-08-05T08:45:00Z,2025-08-30T10:20:00Z,30000,2026-02-10T15:15:00Z,Low-risk member,,,,,,,
Helena Minde,helena.minde@saccos.local,+255712000147,ILS24-F00047,19940809-22631-00047-09,,active,3680000,210000,2025-02-20T09:00:00Z,2025-03-21T10:35:00Z,95000,2025-11-27T13:45:00Z,Imported active borrower,LN-0018,1600000,12,11,active,2025-05-21T11:10:00Z,145000,2026-01-28T09:35:00Z
Rashid Komba,rashid.komba@saccos.local,+255712000148,ILS24-F00048,19860917-17420-00048-24,,active,2550000,150000,2025-06-10T08:30:00Z,2025-07-08T10:10:00Z,60000,2026-02-05T14:05:00Z,Imported active borrower,LN-0019,1100000,10,9,active,2025-09-23T10:25:00Z,95000,2026-03-03T09:30:00Z
Penina Lema,penina.lema@saccos.local,+255712000149,ILS24-F00049,19921027-18367-00049-42,,active,2210000,133000,2025-07-19T08:55:00Z,2025-08-18T10:15:00Z,40000,2026-03-04T13:00:00Z,Strong contribution pattern,,,,,,,
Daniel Mushi,daniel.mushi@saccos.local,+255712000150,ILS24-F00050,19900303-20752-00050-12,,active,4050000,240000,2025-01-14T08:20:00Z,2025-02-12T09:40:00Z,150000,2025-10-21T14:40:00Z,Imported active borrower,LN-0020,2800000,12,16,active,2025-04-10T10:05:00Z,210000,2026-02-26T08:45:00Z
